,brand,model,top_speed_kmh,battery_capacity_kWh,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type
253,Mercedes-Benz,EQV 300 Long,160,90.0,288.0,365.0,276,320,12.1,96.0,CCS,0.0,1030,7,FWD,N - Passenger Van,5140,1928,1901,Small Passenger Van
254,Mercedes-Benz,G 580,180,116.0,216.0,1164.0,267,360,4.7,150.0,CCS,0.0,555,5,AWD,JF - Luxury,4624,1931,1986,SUV
255,Mercedes-Benz,eVito Tourer Extra-Long 60 kWh,160,60.0,192.0,360.0,254,215,12.0,60.0,CCS,0.0,1390,8,FWD,N - Passenger Van,5370,1928,1890,Small Passenger Van
256,Mercedes-Benz,eVito Tourer Long 60 kWh,160,60.0,192.0,360.0,259,220,12.0,60.0,CCS,0.0,990,8,FWD,N - Passenger Van,5140,1928,1890,Small Passenger Van
257,Mercedes-Benz,eVito Tourer Long 90 kWh,160,90.0,288.0,360.0,260,325,12.1,96.0,CCS,0.0,990,8,FWD,N - Passenger Van,5140,1928,1890,Small Passenger Van
258,Mini,Aceman E,160,38.5,0.0,290.0,129,230,7.9,60.0,CCS,750.0,300,5,FWD,JB - Compact,4079,1754,1514,SUV
259,Mini,Aceman JCW,200,49.2,0.0,350.0,143,280,6.4,75.0,CCS,750.0,300,5,FWD,JB - Compact,4079,1754,1514,SUV
260,Mini,Aceman SE,170,49.2,0.0,330.0,129,290,7.1,75.0,CCS,750.0,300,5,FWD,JB - Compact,4079,1754,1514,SUV
261,Mini,Cooper E,160,36.6,0.0,290.0,125,250,7.3,60.0,CCS,0.0,200,4,FWD,B - Compact,3858,1756,1460,Hatchback
262,Mini,Cooper JCW,200,49.2,0.0,350.0,135,290,5.9,75.0,CCS,0.0,200,4,FWD,B - Compact,3858,1756,1460,Hatchback
263,Mini,Cooper SE,170,49.2,0.0,330.0,127,330,6.7,75.0,CCS,0.0,200,4,FWD,B - Compact,3858,1756,1460,Hatchback
264,Mini,Countryman E,170,64.6,0.0,250.0,140,380,8.6,94.0,CCS,750.0,460,5,FWD,JC - Medium,4433,1843,1656,SUV
265,Mini,Countryman SE ALL4,180,64.6,0.0,494.0,149,365,5.6,94.0,CCS,1200.0,460,5,AWD,JC - Medium,4433,1843,1656,SUV
266,NIO,EL6 Long Range,200,90.0,96.0,700.0,170,435,4.5,135.0,CCS,1200.0,579,5,AWD,JE - Executive,4854,1995,1703,SUV
267,NIO,EL6 Standard Range,200,73.5,118.0,700.0,181,365,4.5,110.0,CCS,1200.0,579,5,AWD,JE - Executive,4854,1995,1703,SUV
268,NIO,EL7 Long Range,200,90.0,96.0,850.0,185,430,3.9,100.0,CCS,2000.0,570,5,AWD,JF - Luxury,4912,1987,1720,SUV
269,NIO,EL7 Standard Range,200,73.5,118.0,850.0,198,355,3.9,110.0,CCS,2000.0,570,5,AWD,JF - Luxury,4912,1987,1720,SUV
270,NIO,EL8 Long Range,200,90.0,96.0,850.0,185,440,4.1,190.0,CCS,2000.0,265,6,AWD,JF - Luxury,5099,1989,1750,SUV
271,NIO,EL8 Standard Range,200,73.5,118.0,850.0,196,360,4.1,110.0,CCS,2000.0,265,6,AWD,JF - Luxury,5099,1989,1750,SUV
272,NIO,ET5 Long Range,200,90.0,96.0,700.0,167,500,4.0,100.0,CCS,1400.0,386,5,AWD,E - Executive,4790,1960,1499,Sedan
273,NIO,ET5 Standard Range,200,73.5,118.0,700.0,175,410,4.0,110.0,CCS,1400.0,386,5,AWD,E - Executive,4790,1960,1499,Sedan
274,NIO,ET5 Touring Long Range,200,90.0,96.0,700.0,178,485,4.0,135.0,CCS,1400.0,450,5,AWD,E - Executive,4790,1960,1499,Station/Estate
275,NIO,ET5 Touring Standard Range,200,73.5,118.0,700.0,169,400,4.0,110.0,CCS,1400.0,450,5,AWD,E - Executive,4790,1960,1499,Station/Estate
276,NIO,ET7 Long Range,200,90.0,96.0,850.0,178,505,3.8,100.0,CCS,2000.0,363,5,AWD,F - Luxury,5101,1987,1509,Sedan
277,NIO,ET7 Standard Range,200,73.5,118.0,850.0,191,415,3.8,110.0,CCS,2000.0,363,5,AWD,F - Luxury,5101,1987,1509,Sedan
278,Nissan,Ariya 63kWh,160,63.0,0.0,300.0,175,335,7.5,90.0,CCS,750.0,468,5,FWD,JC - Medium,4595,1850,1660,SUV
279,Nissan,Ariya 87kWh,160,87.0,0.0,300.0,169,450,7.6,110.0,CCS,750.0,468,5,FWD,JC - Medium,4595,1850,1660,SUV
280,Nissan,Ariya e-4ORCE 87kWh - 225 kW,200,87.0,0.0,600.0,190,405,5.7,110.0,CCS,1500.0,415,5,AWD,JC - Medium,4595,1850,1660,SUV
281,Nissan,Ariya e-4ORCE 87kWh - 320 kW Nismo,200,87.0,0.0,600.0,209,385,5.0,110.0,CCS,0.0,415,5,AWD,JC - Medium,4655,1850,1660,SUV
282,Nissan,Townstar EV Passenger,132,45.0,0.0,245.0,158,225,12.6,50.0,CCS,1500.0,819,5,FWD,N - Passenger Van,4488,1860,1838,Small Passenger Van
283,Nissan,Townstar EV Passenger L2,130,45.0,0.0,245.0,173,220,13.3,50.0,CCS,1500.0,819,7,FWD,N - Passenger Van,4911,1860,1815,Small Passenger Van
